algorithm,k,inertia,n_clusters_found,silhouette_score,davies_bouldin_index,calinski_harabasz_score,used_sampling,sampling_strategy,original_size,sample_size,linkage,n_clusters,configuration,eps,min_samples,n_noise_points,noise_percentage
dbscan,,,3,0.41943618017829254,0.8218932399073019,179.76646121942787,True,random,253680,10000,,,eps_0.5_min_samples_20,0.5,20.0,9825.0,98.25
dbscan,,,0,,,,True,random,253680,10000,,,eps_0.5_min_samples_50,0.5,50.0,10000.0,100.0
dbscan,,,147,0.21109348181414075,1.17036651737739,100.43148110751582,True,random,253680,10000,,,eps_0.8_min_samples_5,0.8,5.0,7480.0,74.8
dbscan,,,40,0.25803815306131234,1.1895541496061737,149.59249578863586,True,random,253680,10000,,,eps_0.8_min_samples_10,0.8,10.0,8664.0,86.64
dbscan,,,6,0.2601992396347138,1.4872606701430817,182.09940371913845,True,random,253680,10000,,,eps_0.8_min_samples_20,0.8,20.0,9388.0,93.88
dbscan,,,3,0.3730916960252514,1.0131378978548657,189.7078609238449,True,random,253680,10000,,,eps_0.8_min_samples_50,0.8,50.0,9738.0,97.38
dbscan,,,133,0.13109631458186555,1.3982594741300851,103.83669662626842,True,random,253680,10000,,,eps_1.0_min_samples_5,1.0,5.0,6285.0,62.849999999999994
dbscan,,,47,0.19844391728082506,1.365677969165873,153.80833143944986,True,random,253680,10000,,,eps_1.0_min_samples_10,1.0,10.0,7798.0,77.98
dbscan,,,11,0.2850020201583951,1.1181435708155083,248.12995944825033,True,random,253680,10000,,,eps_1.0_min_samples_20,1.0,20.0,8898.0,88.98
dbscan,,,2,0.4018125967708036,1.0690882020808992,382.93104165392754,True,random,253680,10000,,,eps_1.0_min_samples_50,1.0,50.0,9431.0,94.31
dbscan,,,85,0.11154914074908634,1.4109535515511493,134.27183250845692,True,random,253680,10000,,,eps_1.5_min_samples_5,1.5,5.0,2369.0,23.69
dbscan,,,48,0.1857606113621338,1.5258860429065368,234.31473946552217,True,random,253680,10000,,,eps_1.5_min_samples_10,1.5,10.0,3483.0,34.83
dbscan,,,31,0.21124724896333494,1.5567965978683895,300.00754693886023,True,random,253680,10000,,,eps_1.5_min_samples_20,1.5,20.0,4654.0,46.54
dbscan,,,16,0.26645278575893255,1.3971318094816731,378.9390054689469,True,random,253680,10000,,,eps_1.5_min_samples_50,1.5,50.0,6842.0,68.42
dbscan,,,40,0.09882249021363765,2.0448150764940665,237.53089233034706,True,random,253680,10000,,,eps_2.0_min_samples_5,2.0,5.0,457.0,4.569999999999999
dbscan,,,36,0.12547027899927007,2.07638818938285,273.74918373211403,True,random,253680,10000,,,eps_2.0_min_samples_10,2.0,10.0,980.0,9.8
dbscan,,,34,0.15044333496221704,1.944067768100074,292.13346580958546,True,random,253680,10000,,,eps_2.0_min_samples_20,2.0,20.0,1950.0,19.5
dbscan,,,28,0.18520882522878146,1.8092628901324908,323.34714440821074,True,random,253680,10000,,,eps_2.0_min_samples_50,2.0,50.0,3377.0,33.77
dbscan,,,1,,,,True,random,253680,10000,,,eps_2.5_min_samples_5,2.5,5.0,32.0,0.32
dbscan,,,1,,,,True,random,253680,10000,,,eps_2.5_min_samples_10,2.5,10.0,51.0,0.51
dbscan,,,1,,,,True,random,253680,10000,,,eps_2.5_min_samples_20,2.5,20.0,125.0,1.25
dbscan,,,1,,,,True,random,253680,10000,,,eps_2.5_min_samples_50,2.5,50.0,722.0,7.22
dbscan,,,1,,,,True,random,253680,10000,,,eps_3.0_min_samples_5,3.0,5.0,1.0,0.01
dbscan,,,1,,,,True,random,253680,10000,,,eps_3.0_min_samples_10,3.0,10.0,1.0,0.01
dbscan,,,1,,,,True,random,253680,10000,,,eps_3.0_min_samples_20,3.0,20.0,1.0,0.01
dbscan,,,1,,,,True,random,253680,10000,,,eps_3.0_min_samples_50,3.0,50.0,7.0,0.06999999999999999
