rede,dropout,l2,early_stopping,epocas,loss_treino,loss_val,loss_teste,roc_auc_treino,roc_auc_teste,f1_treino,f1_teste,gap_roc_auc_treino_teste
sem_regularizacao,0.0,0.0,False,200,0.006,2.1435,2.1343,1.0,0.7177,0.9943,0.3106,0.2822
com_regularizacao,0.4,0.001,True,57,0.4908,0.5188,0.5196,0.8623,0.8103,0.4789,0.4335,0.052
