cluster,algoritmo,n,HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,Fruits,Veggies,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,GenHlth,MentHlth,PhysHlth,DiffWalk,Sex,Age,Education,Income,taxa_diabetes
0,KMeans,23515,0.8069317456942378,0.7140973846480969,0.9876249202636614,32.57963002338933,0.6029768233042738,0.15083988943227727,0.32077397405911123,0.45502870508186266,0.5337869445035084,0.6875611311928557,0.02364448224537529,0.9423346799914948,0.18065064852221985,3.8361471401233254,7.828322347437806,14.29032532426111,0.6716138634913885,0.398554114395067,9.456687220922815,4.385668722092282,4.1433553051243885,0.752455879226026
1,KMeans,47177,0.44210102380397226,0.4317993937723891,0.9690951099052504,28.424995230726836,0.4116200691014689,0.0179748606312398,0.06159781249337601,0.8266528181105199,0.6506772367891134,0.8392225024906205,0.05222884032473451,0.9612523051486953,0.0506814761430358,2.3391059202577527,1.7202450346567184,1.583674248044598,0.043940903406320876,0.4861267142887424,8.149098077452996,5.187760985225852,6.473366258982131,0.37416537719651527
0,Agglomerative,6125,0.5262040816326531,0.5100408163265306,0.9711020408163266,29.286204081632654,0.46546938775510205,0.0014693877551020407,0.11820408163265306,0.7268571428571429,0.6140408163265306,0.7902040816326531,0.047020408163265304,0.9497142857142857,0.10155102040816326,2.684734693877551,2.7025306122448978,4.403265306122449,0.19346938775510203,0.47216326530612246,8.475102040816326,4.971591836734694,5.900571428571428,0.4540408163265306
1,Agglomerative,875,0.7748571428571429,0.7131428571428572,1.0,33.55314285714286,0.5851428571428572,0.496,0.36228571428571427,0.46514285714285714,0.5577142857142857,0.7428571428571429,0.0,0.9577142857142857,0.06857142857142857,3.8617142857142857,11.624,15.745142857142858,0.6994285714285714,0.38857142857142857,9.348571428571429,4.467428571428571,4.208,0.7542857142857143
-1,DBSCAN,1564,0.6336317135549873,0.5875959079283888,0.9322250639386189,31.776214833759592,0.5601023017902813,0.23081841432225064,0.2960358056265985,0.4942455242966752,0.5012787723785166,0.6144501278772379,0.08695652173913043,0.819693094629156,0.33184143222506396,3.573529411764706,10.279411764705882,13.459718670076727,0.5338874680306905,0.44565217391304346,8.341432225063938,4.5198209718670075,4.35230179028133,0.6118925831202046
0,DBSCAN,4905,0.5410805300713558,0.5266055045871559,1.0,29.37125382262997,0.45524974515800204,0.0,0.10968399592252803,0.7353720693170235,0.6344546381243629,0.8214067278287461,0.0,1.0,0.0,2.639347604485219,2.0299694189602446,3.799796126401631,0.18613659531090723,0.4654434250764526,8.753924566768603,5.010601427115189,6.0685015290519875,0.4713557594291539
1,DBSCAN,157,0.46496815286624205,0.4968152866242038,1.0,29.643312101910826,0.34394904458598724,0.0,0.0,0.9235668789808917,0.7006369426751592,0.9554140127388535,0.0,1.0,1.0,2.738853503184713,2.388535031847134,3.535031847133758,0.14012738853503184,0.267515923566879,7.159235668789809,5.0,5.522292993630574,0.3885350318471338
2,DBSCAN,71,0.08450704225352113,0.09859154929577464,0.0,25.95774647887324,0.352112676056338,0.0,0.0,0.8732394366197183,0.704225352112676,0.971830985915493,0.0,1.0,0.0,1.7887323943661972,0.9436619718309859,0.4507042253521127,0.014084507042253521,0.352112676056338,6.591549295774648,5.394366197183099,6.323943661971831,0.014084507042253521
3,DBSCAN,152,0.506578947368421,0.48026315789473684,1.0,27.342105263157894,0.5723684210526315,0.0,0.006578947368421052,0.9276315789473685,0.5723684210526315,0.9078947368421053,1.0,1.0,0.0,2.1907894736842106,0.9276315789473685,1.138157894736842,0.03289473684210526,0.5592105263157895,8.046052631578947,5.328947368421052,6.993421052631579,0.23026315789473684
4,DBSCAN,82,0.9146341463414634,0.8658536585365854,1.0,29.317073170731707,0.6707317073170732,1.0,0.47560975609756095,0.9390243902439024,0.7439024390243902,0.9512195121951219,0.0,1.0,0.0,3.048780487804878,0.5121951219512195,2.475609756097561,0.18292682926829268,0.6219512195121951,10.621951219512194,5.036585365853658,5.548780487804878,0.6951219512195121
5,DBSCAN,63,0.30158730158730157,0.23809523809523808,1.0,27.07936507936508,0.5238095238095238,0.0,0.0,0.8571428571428571,0.6507936507936508,0.9365079365079365,0.0,0.0,0.0,2.0317460317460316,0.9365079365079365,0.9841269841269841,0.0,0.7777777777777778,5.873015873015873,4.650793650793651,6.015873015873016,0.23809523809523808
6,DBSCAN,6,1.0,0.3333333333333333,1.0,35.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,3.3333333333333335,1.0,5.5,1.0,0.0,8.333333333333334,5.0,6.166666666666667,0.5
