k,inercia,n_clusters,n_ruido,silhouette,davies_bouldin,calinski_harabasz
2,1306298.4783062644,2,0,0.1670852697673135,2.543806104426956,9645.08345016531
3,1234167.0012260163,3,0,0.07666058446190042,2.8831067748556927,7170.051188742099
4,1167779.7189124287,4,0,0.08394696932443625,2.534589760599653,6391.235490767218
5,1111998.2646030989,5,0,0.08524402373363082,2.316518797022088,5920.279409347382
6,1068273.5597743,6,0,0.09080782478107072,2.2438415570083277,5508.648888612851
7,1013435.2616779486,7,0,0.10042474729062033,2.079147964529665,5476.346281719805
8,989609.966698901,8,0,0.0949580658935831,2.250103881429694,5050.057551862516
9,939932.3887987258,9,0,0.08337865805579228,2.132936254477798,5119.24678880301
10,905586.1455764007,10,0,0.10284311604607224,2.068790848089031,5020.821456946285
